"WaspID","NestID","Rank","NestSize","RemovedIndividual","OffNestBefore","OffNestAfter","Ovaries","NoEggs","Inseminated"
"LF_188_R1",188,1,3,2,2.1,0,"D",16,"Y"
"LF_192_R1",192,1,3,2,2.22,2.56,"D",12,"Y"
"LF_193_R1",193,1,3,2,6.52,2.56,"D",11,"Y"
"LF_159_R1",159,1,3,2,0,0,"D",14,"Y"
"LF_181_R1",181,1,3,2,8.88,0,"D",10,"Y"
"LF_176_R1",176,1,3,2,0,0,"D",15,"Y"
"LF_188_R2",188,2,3,2,4.34,NA,"A",0,"N"
"LF_193_R2",193,2,3,2,23.91,NA,"A",0,"N"
"LF_159_R2",159,2,3,2,4.24,NA,"A",0,"N"
"LF_181_R2",181,2,3,2,31.11,NA,"A",0,"N"
"LF_176_R2",176,2,3,2,10.86,NA,"B",0,"N"
"LF_188_R3",188,3,3,2,86.9,41.3,"A",0,"N"
"LF_193_R3",193,3,3,2,52.17,69.23,"A",0,"N"
"LF_159_R3",159,3,3,2,96,70,"A",0,"N"
"LF_181_R3",181,3,3,2,97.77,71.79,"A",0,"N"
"LF_176_R3",176,3,3,2,91.11,56.41,"A",0,"N"
"LF_195_R1",195,1,4,2,0,0,"A",0,""
"LF_171_R1",171,1,4,2,0,0,"D",19,"Y"
"LF_169_R1",169,1,4,2,6.52,2.56,"D",10,"Y"
"LF_207_R1",207,1,4,2,4.225,5.12,"D",11,"Y"
"LF_189_R1",189,1,4,2,4.34,0,"D",10,"Y"
"LF_195_R2",195,2,4,2,54.34,NA,"A",0,"N"
"LF_171_R2",171,2,4,2,23.91,NA,"A",0,"N"
"LF_169_R2",169,2,4,2,13.04,NA,"A",0,"N"
"LF_207_R2",207,2,4,2,15.55,NA,"A",0,"N"
"LF_189_R2",189,2,4,2,58.69,NA,"A",0,"N"
"LF_154_R2",154,2,4,2,36.17,NA,"A",0,"N"
"LF_195_R3",195,3,4,2,95.56,92.31,"A",0,"N"
"LF_169_R3",169,3,4,2,43.18,51.28,"A",0,"N"
"LF_189_R3",189,3,4,2,84.78,76.92,"A",0,"N"
"LF_154_R3",154,3,4,2,91.48,94.8,"A",0,"N"
"LF_195_R4",195,4,4,2,97.82,97.44,"A",0,"N"
"LF_171_R4",171,4,4,2,98,69.23,"A",0,"N"
"LF_169_R4",169,4,4,2,96,82,"A",0,"N"
"LF_207_R4",207,4,4,2,93.33,84.05,"A",0,"N"
"LF_189_R4",189,4,4,2,94.44,94.87,"A",0,"N"
"LF_190_R1",190,1,4,3,2.17,2.56,"C/D",13,"Y"
"LF_177_R1",177,1,4,3,6.06,0,"D",13,"Y"
"LF_190_R2",190,2,4,3,2.17,15.38,"A",0,"N"
"LF_177_R2",177,2,4,3,75.55,79,"A",0,"N"
"LF_190_R3",190,3,4,3,47.82,NA,"A",0,"N"
"LF_162_R3",162,3,4,3,6.52,NA,"A",0,"N"
"LF_162_R4",162,4,4,3,95.65,74.35,"A",0,"N"
"LF_177_R4",177,4,4,3,86.66,97.44,"A",0,"N"
"LF_158_R1",158,1,5,2,2.12,2.5,"D",16,"Y"
"LF_163_R1",163,1,5,2,17.39,0,"D",10,"Y"
"LF_168_R1",168,1,5,2,0,0,"D",17,"Y"
"LF_210_R1",210,1,5,2,4.166,0,"D",12,"Y"
"LF_209_R1",209,1,5,2,0,0,"B/C",4,"N"
"LF_158_R2",158,2,5,2,6.38,NA,"A",0,"N"
"LF_163_R2",163,2,5,2,52.17,NA,"B",0,"N"
"LF_168_R2",168,2,5,2,6.521,NA,"A",0,"N"
"LF_200_R2",200,2,5,2,26.08,NA,"A",0,"N"
"LF_209_R2",209,2,5,2,2.173,NA,"",NA,"Y"
"LF_158_R3",158,3,5,2,80.85,50,"A",0,"N"
"LF_163_R3",163,3,5,2,80.43,94.87,"A",0,"N"
"LF_200_R3",200,3,5,2,36.95,28.21,"A",0,"N"
"LF_210_R3",210,3,5,2,82.608,58.92,"A",0,"N"
"LF_209_R3",209,3,5,2,54.54,64.1,"A",0,"N"
"LF_158_R4",158,4,5,2,86.66,82.5,"A",0,"N"
"LF_163_R4",163,4,5,2,98,87.18,"A",0,"N"
"LF_168_R4",168,4,5,2,65.21,20,"A",0,"N"
"LF_209_R4",209,4,5,2,56.52,69.23,"A",0,"N"
"LF_158_R5",158,5,5,2,97.05,97.5,"A",0,"N"
"LF_168_R5",168,5,5,2,91.304,75,"A",0,"N"
"LF_150_R1",150,1,5,3,4.255,2.5,"D",11,"Y"
"LF_165_R1",165,1,5,3,0,2.56,"D",11,"Y"
"LF_202_R1",202,1,5,3,2.17,0,"D",13,"Y"
"LF_208_R1",208,1,5,3,0,0,"D",15,"Y"
"LF_150_R2",150,2,5,3,50,32.5,"A",0,"N"
"LF_186_R2",186,2,5,3,19.14,68.75,"A",0,"N"
"LF_185_R2",185,2,5,3,34.04,25,"B",2,"N"
"LF_165_R2",165,2,5,3,2.22,0,"B",3,"N"
