Geneid	gene_name	SRR1519115_1Aligned.sortedByCoord.out.bam	SRR1519109_1Aligned.sortedByCoord.out.bam	SRR1519111_1Aligned.sortedByCoord.out.bam	SRR1519117_1Aligned.sortedByCoord.out.bam	SRR1519113_1Aligned.sortedByCoord.out.bam	SRR1519110_1Aligned.sortedByCoord.out.bam	SRR1519116_1Aligned.sortedByCoord.out.bam	SRR1519108_1Aligned.sortedByCoord.out.bam	SRR1519112_1Aligned.sortedByCoord.out.bam	SRR1519114_1Aligned.sortedByCoord.out.bam
gene-LOC106784153	LOC106784153	6	11	15	15	0	13	13	2	10	6
gene-LOC106784085	LOC106784085	6	15	19	20	9	26	21	8	5	3
gene-LOC106783879	LOC106783879	442	1481	1731	1728	581	2304	2121	465	1311	680
gene-LOC106784012	LOC106784012	2	6	3	22	1	0	1	15	1	6
gene-LOC106783940	LOC106783940	409	548	677	779	422	609	725	436	690	458
gene-LOC106783811	LOC106783811	230	380	510	442	206	493	579	246	383	283
gene-LOC106792039	LOC106792039	2	12	2	0	0	34	6	51	1	4
gene-LOC106783577	LOC106783577	0	3	0	0	1	6	0	0	0	1
gene-LOC106792109	LOC106792109	407	6095	442	8	953	17166	8	39340	3	561
gene-LOC106792180	LOC106792180	445	860	926	936	442	875	936	617	830	533
gene-LOC106790239	LOC106790239	2	20	16	14	2	16	10	1	9	3
gene-LOC106793447	LOC106793447	74	270	369	640	87	381	327	209	512	152
gene-LOC106793296	LOC106793296	2598	7547	11004	10489	2362	10029	7977	3623	11237	3929
gene-LOC106793534	LOC106793534	66	97	122	15	66	112	124	41	32	61
gene-LOC106785363	LOC106785363	2161	3090	3496	3980	1387	2773	2410	2023	3020	1942
gene-LOC106789119	LOC106789119	371	672	905	777	354	753	559	408	751	471
gene-LOC106790448	LOC106790448	233	210	270	287	120	275	249	121	184	118
gene-LOC106790650	LOC106790650	858	1275	1797	1250	819	1358	1098	703	1211	884
gene-LOC106790958	LOC106790958	268	598	720	100	318	343	325	342	535	424
gene-LOC106793585	LOC106793585	10	53	61	62	10	55	28	22	66	18
gene-LOC106793045	LOC106793045	378	864	998	780	352	1044	973	368	656	408
gene-LOC106793239	LOC106793239	252	581	614	338	272	1032	789	308	358	378
gene-LOC106792958	LOC106792958	578	695	908	460	415	833	749	359	530	455
gene-LOC106792893	LOC106792893	274	534	550	433	296	499	629	271	410	394
gene-LOC106793354	LOC106793354	394	663	801	1295	361	680	757	314	517	350
gene-LOC106793152	LOC106793152	349	605	632	538	376	556	747	407	513	433
gene-LOC106793188	LOC106793188	42	114	141	117	22	119	108	51	106	66
gene-LOC106793282	LOC106793282	274	770	834	623	324	877	850	283	655	476
gene-LOC106793092	LOC106793092	694	1138	1704	1316	632	1417	1202	716	1337	949
gene-LOC106785249	LOC106785249	1672	3713	5323	3787	1465	5217	3683	1946	3813	2080
gene-LOC106785316	LOC106785316	427	1126	1639	1877	352	1476	1260	532	1296	578
gene-LOC106793297	LOC106793297	224	347	398	451	233	272	280	266	362	303
gene-LOC106793424	LOC106793424	273	325	412	399	179	375	385	234	332	232
gene-LOC106788563	LOC106788563	1850	6252	7321	4750	2608	5959	5987	2368	4572	3251
gene-LOC106789066	LOC106789066	132	222	214	202	126	208	243	106	175	142
gene-LOC106793085	LOC106793085	767	1061	1089	807	788	1047	951	802	842	904
gene-LOC106793508	LOC106793508	134	350	385	359	142	370	419	155	330	148
gene-LOC106793065	LOC106793065	904	2150	2259	2907	977	2145	2158	1157	1834	1180
gene-LOC106794044	LOC106794044	27	3	6	6	34	0	1	23	4	5
gene-LOC106793361	LOC106793361	783	1255	1701	1729	765	1532	1401	652	1327	733
gene-LOC106793683	LOC106793683	24	0	0	0	41	0	0	30	0	34
gene-LOC106783599	LOC106783599	116	69	42	59	116	4	1	160	100	149
gene-LOC106793758	LOC106793758	650	1504	1805	1757	637	1684	1956	572	1298	766
gene-LOC106793617	LOC106793617	8	8	9	7	7	12	6	5	8	20
gene-LOC106793905	LOC106793905	46	136	122	68	64	161	108	90	89	73
gene-LOC106793976	LOC106793976	124	176	175	162	125	137	136	124	143	152
gene-LOC106783662	LOC106783662	30	51	86	88	53	59	58	26	81	25
gene-LOC106793830	LOC106793830	837	1776	2311	2761	1298	1781	2941	1614	2709	1348
gene-LOC106783736	LOC106783736	2	5	10	5	2	5	6	1	1	8
gene-LOC106783776	LOC106783776	7	4	5	2	1	2	4	3	3	5
gene-LOC106793385	LOC106793385	3	7	10	8	6	14	8	6	14	5
gene-LOC106793548	LOC106793548	7335	12724	11552	8478	7336	13082	11546	6911	10156	7419
gene-LOC106793472	LOC106793472	231	470	591	505	192	562	622	251	420	265
gene-LOC106793491	LOC106793491	31	0	5	4	23	1	0	37	9	50
gene-LOC106793486	LOC106793486	109	203	225	268	115	243	250	136	194	131
gene-LOC106793272	LOC106793272	228	400	417	452	236	218	234	275	362	370
gene-LOC106793258	LOC106793258	121	278	238	185	122	212	190	154	206	143
gene-LOC106787496	LOC106787496	690	1966	1956	1144	961	2318	3217	1052	1307	1035
gene-LOC106787961	LOC106787961	7	3	0	0	14	5	0	12	3	13
gene-LOC106787891	LOC106787891	173	245	230	215	142	234	169	157	209	190
gene-LOC106787688	LOC106787688	210	322	306	217	220	328	245	170	295	307
gene-LOC106793396	LOC106793396	423	492	717	801	349	405	476	363	508	336
gene-LOC106788839	LOC106788839	267	372	461	482	211	407	468	247	401	238
gene-LOC106793500	LOC106793500	657	2027	2015	1858	678	2228	2633	721	1552	916
gene-LOC106792840	LOC106792840	30	23	28	27	13	30	17	23	18	26
gene-LOC106792406	LOC106792406	227	381	394	418	274	332	322	269	364	273
gene-LOC106792589	LOC106792589	99	139	139	214	108	144	110	136	171	149
gene-LOC106792721	LOC106792721	133	79	108	88	125	62	41	129	105	178
gene-LOC106792988	LOC106792988	525	664	846	804	413	637	727	522	795	463
gene-LOC106793028	LOC106793028	277	44	13	55	331	0	2	427	67	452
gene-LOC106793018	LOC106793018	37	25	43	46	43	25	11	31	39	31
gene-LOC106793253	LOC106793253	190	306	394	239	140	297	320	153	240	226
gene-LOC106793468	LOC106793468	330	654	724	895	364	571	682	366	682	412
gene-LOC106793323	LOC106793323	486	1165	1021	1066	557	955	1105	518	1061	705
gene-LOC106793332	LOC106793332	0	3	3	4	3	9	8	4	2	1
gene-LOC106790725	LOC106790725	769	1378	1332	916	797	1123	1024	707	1023	916
gene-LOC106790959	LOC106790959	297	946	990	975	395	929	892	376	744	434
gene-LOC106790839	LOC106790839	92	200	344	294	101	236	302	102	271	137
gene-LOC106791151	LOC106791151	224	851	897	1213	306	1328	1217	442	633	459
