"GO.ID","Ontology","Term","result"
"GO:0032543","BP","mitochondrial translation","0.02"
"GO:0006418","BP","tRNA aminoacylation for protein translation","0.02"
"GO:0050911","BP","detection of chemical stimulus involved in sensory perception of smell","0.038"
"GO:0006464","BP","cellular protein modification process","0.041"
"GO:0090307","BP","mitotic spindle assembly","0.046"
"GO:0071897","BP","DNA biosynthetic process","0.046"
"GO:0005739","CC","mitochondrion","0.0013"
"GO:0005759","CC","mitochondrial matrix","0.0072"
"GO:0016021","CC","integral component of membrane","0.011"
"GO:0005886","CC","plasma membrane","0.025"
"GO:0005747","CC","mitochondrial respiratory chain complex I","0.027"
"GO:0005615","CC","extracellular space","0.028"
"GO:0098800","CC","inner mitochondrial membrane protein complex","0.048"
"GO:0004812","MF","aminoacyl-tRNA ligase activity","0.022"
"GO:0005549","MF","odorant binding","0.048"
"GO:0004984","MF","olfactory receptor activity","0.048"
