"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lflavo2a009255",1738.12193765447,-0.275951756294528,0.0849963553610007,-3.24663045988845,0.00116779912195651,0.016684114866734
"Lflavo2a011908",1264.26273466636,-0.317118821830873,0.106811392660335,-2.9689606504741,0.00298808857828076,0.0339796981962473
"Lflavo2a008674",475.093927301474,-0.24490224531356,0.0608893058976804,-4.02208962153549,5.7684099798134e-05,0.00165734317779893
"Lflavo2a002634",7.65165546961563,-0.6159948634747,0.189669348461318,-3.24773016026008,0.00116329536387505,0.0166408884453689
"Lflavo2a002504",62.4132925652603,-0.199886102763236,0.0675226924198127,-2.96028039759542,0.00307359159128911,0.0346024941347328
"Lflavo2a002654",933.954363469084,-0.320217615298461,0.0889101011172687,-3.60158869773534,0.000316278476022403,0.00607506289667354
"Lflavo2a011199",47.0286819373218,-1.04311923264878,0.229492859579874,-4.54532325998458,5.48510066065271e-06,0.000286266923002023
"Lflavo2a011325",4350.97311958945,-0.517237860458309,0.101160644380217,-5.11303445749364,3.17024441391739e-07,2.99921105982201e-05
"Lflavo2a011218",2188.82732274834,-0.0831322317836274,0.0252348674205667,-3.29433994631863,0.000986531092750501,0.014650276985974
"Lflavo2a011297",6859.72967806704,-0.213703990178721,0.0729190666137394,-2.93070111978716,0.00338197994114024,0.037218309068775
"Lflavo2a011221",5.81965524711979,-1.15333604201052,0.272502159007421,-4.23239230915271,2.31218634143415e-05,0.000847902079213865
"Lflavo2a011287",2.42044366523822,-1.17128904229175,0.38463172613494,-3.04522212471061,0.00232508520886741,0.0284210741383597
"Lflavo2a011234",2951.76140844013,-0.163718805887811,0.0504577707329718,-3.24466982012006,0.0011758688022935,0.0167568746534433
"Lflavo2a000206",542.238221912406,-0.123591355776087,0.0411316579725617,-3.00477446978999,0.00265777840715775,0.0310708923237611
"Lflavo2a004553",4133.54316709285,-0.345382858473481,0.0836901072389428,-4.1269257486716,3.67645033786005e-05,0.00118255651153224
"Lflavo2a013357",39.5713583672138,-1.23891461088281,0.232567300249047,-5.32712298571686,9.97806051489105e-08,1.1701354716317e-05
"Lflavo2a013285",70.050575010175,-0.80705060787657,0.180882168052979,-4.46174775857503,8.12938837932351e-06,0.000391853797811331
"Lflavo2a013303",227.140143472561,-0.580401693536088,0.167272280638793,-3.46980199779427,0.000520842170251349,0.008938477366905
"Lflavo2a013293",617.735237691597,-0.190529262458586,0.0453780280578475,-4.1987118130321,2.68437689238729e-05,0.000948465989465823
"Lflavo2a013275",846.323169871189,-0.172922301061823,0.0457436257159339,-3.7802491244499,0.000156671515708649,0.00350572900451861
"Lflavo2a013338",57.790339572799,-0.344153887095672,0.112322862608985,-3.06397005117053,0.00218420774654077,0.0272290475032234
"Lflavo2a013306",90.1298103168134,-0.958528591966048,0.233022977039156,-4.11345097442893,3.89787851235175e-05,0.00123456792649507
"Lflavo2a013343",15.9518711222995,-0.605207053421832,0.148898718653219,-4.06455514792805,4.81241597035645e-05,0.00142950340354282
"Lflavo2a013268",1294.69612396648,-0.294345628668811,0.0656428184774782,-4.48404921506836,7.32397585545565e-06,0.000361637369213683
