"qseqid","mrca","ps","mrca_name"
"Lflavo2a000006P1","131567",1,"cellular organisms"
"Lflavo2a000015P1","131567",1,"cellular organisms"
"Lflavo2a000024P1","131567",1,"cellular organisms"
"Lflavo2a000040P1","131567",1,"cellular organisms"
"Lflavo2a000040P2","131567",1,"cellular organisms"
"Lflavo2a000042P1","131567",1,"cellular organisms"
"Lflavo2a000042P2","131567",1,"cellular organisms"
"Lflavo2a000059P1","131567",1,"cellular organisms"
"Lflavo2a000061P1","131567",1,"cellular organisms"
"Lflavo2a000094P1","131567",1,"cellular organisms"
"Lflavo2a000105P1","131567",1,"cellular organisms"
"Lflavo2a000105P2","131567",1,"cellular organisms"
"Lflavo2a000105P3","131567",1,"cellular organisms"
"Lflavo2a000105P4","131567",1,"cellular organisms"
"Lflavo2a000105P5","131567",1,"cellular organisms"
"Lflavo2a000105P6","131567",1,"cellular organisms"
"Lflavo2a000113P1","131567",1,"cellular organisms"
"Lflavo2a000118P1","131567",1,"cellular organisms"
"Lflavo2a000131P1","131567",1,"cellular organisms"
"Lflavo2a000134P1","131567",1,"cellular organisms"
"Lflavo2a000136P1","131567",1,"cellular organisms"
"Lflavo2a000136P2","131567",1,"cellular organisms"
"Lflavo2a000191P1","131567",1,"cellular organisms"
"Lflavo2a000204P1","131567",1,"cellular organisms"
"Lflavo2a000208P1","131567",1,"cellular organisms"
"Lflavo2a000208P2","131567",1,"cellular organisms"
"Lflavo2a000214P1","131567",1,"cellular organisms"
"Lflavo2a000217P1","131567",1,"cellular organisms"
"Lflavo2a000223P1","131567",1,"cellular organisms"
"Lflavo2a000225P1","131567",1,"cellular organisms"
"Lflavo2a000232P1","131567",1,"cellular organisms"
"Lflavo2a000238P1","131567",1,"cellular organisms"
"Lflavo2a000248P1","131567",1,"cellular organisms"
"Lflavo2a000251P1","131567",1,"cellular organisms"
"Lflavo2a000252P1","131567",1,"cellular organisms"
"Lflavo2a000260P1","131567",1,"cellular organisms"
"Lflavo2a000263P1","131567",1,"cellular organisms"
"Lflavo2a000269P1","131567",1,"cellular organisms"
"Lflavo2a000278P1","131567",1,"cellular organisms"
"Lflavo2a000283P1","131567",1,"cellular organisms"
"Lflavo2a000304P1","131567",1,"cellular organisms"
"Lflavo2a000333P1","131567",1,"cellular organisms"
"Lflavo2a000337P1","131567",1,"cellular organisms"
"Lflavo2a000337P2","131567",1,"cellular organisms"
"Lflavo2a000389P1","131567",1,"cellular organisms"
"Lflavo2a000406P1","131567",1,"cellular organisms"
"Lflavo2a000411P1","131567",1,"cellular organisms"
"Lflavo2a000423P1","131567",1,"cellular organisms"
"Lflavo2a000427P1","131567",1,"cellular organisms"
"Lflavo2a000439P1","131567",1,"cellular organisms"
"Lflavo2a000452P1","131567",1,"cellular organisms"
"Lflavo2a000478P1","131567",1,"cellular organisms"
"Lflavo2a000512P1","131567",1,"cellular organisms"
"Lflavo2a000522P1","131567",1,"cellular organisms"
"Lflavo2a000561P1","131567",1,"cellular organisms"
"Lflavo2a000561P2","131567",1,"cellular organisms"
"Lflavo2a000569P1","131567",1,"cellular organisms"
"Lflavo2a000582P1","131567",1,"cellular organisms"
"Lflavo2a000592P1","131567",1,"cellular organisms"
"Lflavo2a000595P1","131567",1,"cellular organisms"
"Lflavo2a000597P1","131567",1,"cellular organisms"
"Lflavo2a000597P2","131567",1,"cellular organisms"
"Lflavo2a000604P1","131567",1,"cellular organisms"
"Lflavo2a000616P1","131567",1,"cellular organisms"
"Lflavo2a000618P1","131567",1,"cellular organisms"
"Lflavo2a000621P1","131567",1,"cellular organisms"
"Lflavo2a000622P1","131567",1,"cellular organisms"
"Lflavo2a000623P1","131567",1,"cellular organisms"
"Lflavo2a000626P1","131567",1,"cellular organisms"
"Lflavo2a000642P1","131567",1,"cellular organisms"
"Lflavo2a000644P1","131567",1,"cellular organisms"
"Lflavo2a000646P1","131567",1,"cellular organisms"
"Lflavo2a000652P1","131567",1,"cellular organisms"
"Lflavo2a000652P2","131567",1,"cellular organisms"
"Lflavo2a000676P1","131567",1,"cellular organisms"
"Lflavo2a000678P1","131567",1,"cellular organisms"
"Lflavo2a000682P1","131567",1,"cellular organisms"
"Lflavo2a000682P2","131567",1,"cellular organisms"
"Lflavo2a000683P1","131567",1,"cellular organisms"
"Lflavo2a000701P1","131567",1,"cellular organisms"
"Lflavo2a000706P1","131567",1,"cellular organisms"
"Lflavo2a000713P1","131567",1,"cellular organisms"
"Lflavo2a000713P2","131567",1,"cellular organisms"
"Lflavo2a000713P3","131567",1,"cellular organisms"
"Lflavo2a000713P6","131567",1,"cellular organisms"
"Lflavo2a000723P1","131567",1,"cellular organisms"
"Lflavo2a000766P1","131567",1,"cellular organisms"
"Lflavo2a000774P1","131567",1,"cellular organisms"
"Lflavo2a000776P1","131567",1,"cellular organisms"
"Lflavo2a000781P1","131567",1,"cellular organisms"
"Lflavo2a000800P1","131567",1,"cellular organisms"
"Lflavo2a000811P1","131567",1,"cellular organisms"
"Lflavo2a000822P1","131567",1,"cellular organisms"
"Lflavo2a000829P1","131567",1,"cellular organisms"
