Orthogroup	Liostenogaster_flavolineata	Polistes_dominula
OG0000000	Lflavo2a001712P1, Lflavo2a001701P1	lcl|NW_015148980.1_prot_XP_015172295.1_5145, lcl|NW_015148980.1_prot_XP_015172296.1_5148, lcl|NW_015148980.1_prot_XP_015172320.1_5147, lcl|NW_015148980.1_prot_XP_015172328.1_5125, lcl|NW_015148980.1_prot_XP_015172326.1_5122, lcl|NW_015148980.1_prot_XP_015172318.1_5132, lcl|NW_015148980.1_prot_XP_015172327.1_5142, lcl|NW_015148980.1_prot_XP_015172323.1_5115, lcl|NW_015148980.1_prot_XP_015172322.1_5111, lcl|NW_015148980.1_prot_XP_015172321.1_5113, lcl|NW_015148980.1_prot_XP_015172319.1_5146, lcl|NW_015148980.1_prot_XP_015172324.1_5116, lcl|NW_015148980.1_prot_XP_015172329.1_5126, lcl|NW_015148980.1_prot_XP_015172310.1_5119, lcl|NW_015148980.1_prot_XP_015172306.1_5144, lcl|NW_015148980.1_prot_XP_015172289.1_5133, lcl|NW_015148980.1_prot_XP_015172307.1_5141, lcl|NW_015148980.1_prot_XP_015172303.1_5112, lcl|NW_015148980.1_prot_XP_015172299.1_5106, lcl|NW_015148980.1_prot_XP_015172300.1_5107, lcl|NW_015148980.1_prot_XP_015172302.1_5114, lcl|NW_015148980.1_prot_XP_015172301.1_5108, lcl|NW_015148980.1_prot_XP_015172308.1_5150, lcl|NW_015148980.1_prot_XP_015172311.1_5152, lcl|NW_015148980.1_prot_XP_015172305.1_5121, lcl|NW_015148980.1_prot_XP_015172304.1_5123, lcl|NW_015148980.1_prot_XP_015172314.1_5124, lcl|NW_015148980.1_prot_XP_015172312.1_5120, lcl|NW_015148980.1_prot_XP_015172317.1_5149, lcl|NW_015148980.1_prot_XP_015172291.1_5135, lcl|NW_015148980.1_prot_XP_015172293.1_5134, lcl|NW_015148980.1_prot_XP_015172294.1_5136, lcl|NW_015148980.1_prot_XP_015172290.1_5129, lcl|NW_015148980.1_prot_XP_015172313.1_5143, lcl|NW_015148980.1_prot_XP_015172292.1_5131, lcl|NW_015148980.1_prot_XP_015172316.1_5117, lcl|NW_015148980.1_prot_XP_015172331.1_5109, lcl|NW_015148980.1_prot_XP_015172315.1_5110, lcl|NW_015148980.1_prot_XP_015172285.1_5130, lcl|NW_015148980.1_prot_XP_015172283.1_5137, lcl|NW_015148980.1_prot_XP_015172284.1_5138, lcl|NW_015148980.1_prot_XP_015172286.1_5118, lcl|NW_015148980.1_prot_XP_015172287.1_5151, lcl|NW_015148980.1_prot_XP_015172288.1_5153, lcl|NW_015148980.1_prot_XP_015172281.1_5128, lcl|NW_015148980.1_prot_XP_015172280.1_5127, lcl|NW_015148980.1_prot_XP_015172279.1_5139, lcl|NW_015148980.1_prot_XP_015172297.1_5140, lcl|NW_015148980.1_prot_XP_015172330.1_5104, lcl|NW_015148980.1_prot_XP_015172332.1_5105
OG0000001	Lflavo2a002631P1, Lflavo2a001847P1, Lflavo2a009517P1	lcl|NW_015148977.1_prot_XP_015171022.1_3995
OG0000001	Lflavo2a010000P1, Lflavo2a010005P1, Lflavo2a010009P1, Lflavo2a010023P1	lcl|NW_015149183.1_prot_XP_015189438.1_20400, lcl|NW_015148978.1_prot_XP_015171450.1_4339
OG0000002	Lflavo2a014099P1, Lflavo2a014173P1	lcl|NW_015149083.1_prot_XP_015186700.1_17946, lcl|NW_015149083.1_prot_XP_015186686.1_17947, lcl|NW_015149083.1_prot_XP_015186687.1_17966, lcl|NW_015149083.1_prot_XP_015186689.1_17956, lcl|NW_015149083.1_prot_XP_015186692.1_17969, lcl|NW_015149083.1_prot_XP_015186684.1_17948, lcl|NW_015149083.1_prot_XP_015186695.1_17970, lcl|NW_015149083.1_prot_XP_015186697.1_17949, lcl|NW_015149083.1_prot_XP_015186699.1_17950, lcl|NW_015149083.1_prot_XP_015186706.1_17967, lcl|NW_015149083.1_prot_XP_015186694.1_17960, lcl|NW_015149083.1_prot_XP_015186698.1_17961, lcl|NW_015149083.1_prot_XP_015186707.1_17962, lcl|NW_015149083.1_prot_XP_015186704.1_17963, lcl|NW_015149083.1_prot_XP_015186701.1_17958, lcl|NW_015149083.1_prot_XP_015186703.1_17965, lcl|NW_015149083.1_prot_XP_015186705.1_17971, lcl|NW_015149083.1_prot_XP_015186709.1_17959, lcl|NW_015149083.1_prot_XP_015186696.1_17957, lcl|NW_015149083.1_prot_XP_015186688.1_17968, lcl|NW_015149083.1_prot_XP_015186681.1_17951, lcl|NW_015149083.1_prot_XP_015186682.1_17952, lcl|NW_015149083.1_prot_XP_015186683.1_17953, lcl|NW_015149083.1_prot_XP_015186685.1_17954, lcl|NW_015149083.1_prot_XP_015186690.1_17955, lcl|NW_015149083.1_prot_XP_015186693.1_17964
OG0000003	Lflavo2a002907P1	lcl|NW_015149043.1_prot_XP_015183565.1_15125, lcl|NW_015149043.1_prot_XP_015183560.1_15122, lcl|NW_015149043.1_prot_XP_015183554.1_15116, lcl|NW_015149043.1_prot_XP_015183555.1_15128, lcl|NW_015149043.1_prot_XP_015183557.1_15129, lcl|NW_015149043.1_prot_XP_015183558.1_15118, lcl|NW_015149043.1_prot_XP_015183562.1_15124, lcl|NW_015149043.1_prot_XP_015183556.1_15117, lcl|NW_015149043.1_prot_XP_015183559.1_15120, lcl|NW_015149043.1_prot_XP_015183566.1_15127, lcl|NW_015149043.1_prot_XP_015183564.1_15123, lcl|NW_015149043.1_prot_XP_015183567.1_15126, lcl|NW_015149043.1_prot_XP_015183561.1_15119, lcl|NW_015149043.1_prot_XP_015183563.1_15121
OG0000004	Lflavo2a000983P1	lcl|NW_015149060.1_prot_XP_015185099.1_16566, lcl|NW_015149060.1_prot_XP_015185104.1_16571, lcl|NW_015149060.1_prot_XP_015185106.1_16567, lcl|NW_015149060.1_prot_XP_015185102.1_16570, lcl|NW_015149060.1_prot_XP_015185100.1_16565, lcl|NW_015149060.1_prot_XP_015185098.1_16564, lcl|NW_015149060.1_prot_XP_015185095.1_16562, lcl|NW_015149060.1_prot_XP_015185107.1_16568, lcl|NW_015149060.1_prot_XP_015185097.1_16563, lcl|NW_015149060.1_prot_XP_015185094.1_16559, lcl|NW_015149060.1_prot_XP_015185096.1_16560, lcl|NW_015149060.1_prot_XP_015185101.1_16561, lcl|NW_015149060.1_prot_XP_015185105.1_16569
OG0000005	Lflavo2a009800P1	lcl|NW_015148970.1_prot_XP_015179918.1_695, lcl|NW_015148970.1_prot_XP_015179828.1_668, lcl|NW_015148970.1_prot_XP_015179656.1_664, lcl|NW_015148970.1_prot_XP_015179745.1_669, lcl|NW_015148970.1_prot_XP_015178905.1_679, lcl|NW_015148970.1_prot_XP_015178991.1_676, lcl|NW_015148970.1_prot_XP_015179071.1_675, lcl|NW_015148970.1_prot_XP_015179155.1_673, lcl|NW_015148970.1_prot_XP_015177816.1_680, lcl|NW_015148970.1_prot_XP_015177897.1_681, lcl|NW_015148970.1_prot_XP_015177981.1_682, lcl|NW_015148970.1_prot_XP_015178062.1_683, lcl|NW_015148970.1_prot_XP_015178152.1_684, lcl|NW_015148970.1_prot_XP_015178238.1_685, lcl|NW_015148970.1_prot_XP_015178321.1_686, lcl|NW_015148970.1_prot_XP_015178410.1_687, lcl|NW_015148970.1_prot_XP_015178494.1_688, lcl|NW_015148970.1_prot_XP_015178583.1_689, lcl|NW_015148970.1_prot_XP_015178652.1_690, lcl|NW_015148970.1_prot_XP_015178737.1_691, lcl|NW_015148970.1_prot_XP_015178813.1_692, lcl|NW_015148970.1_prot_XP_015179246.1_678, lcl|NW_015148970.1_prot_XP_015179491.1_672, lcl|NW_015148970.1_prot_XP_015179570.1_671, lcl|NW_015148970.1_prot_XP_015179408.1_674, lcl|NW_015148970.1_prot_XP_015179326.1_677, lcl|NW_015148970.1_prot_XP_015180083.1_666, lcl|NW_015148970.1_prot_XP_015179994.1_667
OG0000006	Lflavo2a002602P4, Lflavo2a002602P2, Lflavo2a002602P6, Lflavo2a002602P7, Lflavo2a002602P8, Lflavo2a002602P1, Lflavo2a002602P3, Lflavo2a002602P5	lcl|NW_015149009.1_prot_XP_015178609.1_10708, lcl|NW_015149009.1_prot_XP_015178610.1_10709, lcl|NW_015149009.1_prot_XP_015178601.1_10710, lcl|NW_015149009.1_prot_XP_015178602.1_10711, lcl|NW_015149009.1_prot_XP_015178603.1_10712, lcl|NW_015149009.1_prot_XP_015178604.1_10713, lcl|NW_015149009.1_prot_XP_015178611.1_10707, lcl|NW_015149009.1_prot_XP_015178608.1_10706, lcl|NW_015149009.1_prot_XP_015178606.1_10704, lcl|NW_015149009.1_prot_XP_015178605.1_10705
OG0000007	Lflavo2a009204P1	lcl|NW_015149084.1_prot_XP_015186741.1_18050, lcl|NW_015149084.1_prot_XP_015186742.1_18052, lcl|NW_015149084.1_prot_XP_015186738.1_18046, lcl|NW_015149084.1_prot_XP_015186747.1_18053, lcl|NW_015149084.1_prot_XP_015186740.1_18049, lcl|NW_015149084.1_prot_XP_015186748.1_18044, lcl|NW_015149084.1_prot_XP_015186739.1_18048, lcl|NW_015149084.1_prot_XP_015186745.1_18051, lcl|NW_015149084.1_prot_XP_015186744.1_18047, lcl|NW_015149084.1_prot_XP_015186749.1_18043, lcl|NW_015149084.1_prot_XP_015186743.1_18045
OG0000008	Lflavo2a013737P5, Lflavo2a013737P3, Lflavo2a013737P4, Lflavo2a013737P1, Lflavo2a013737P2	lcl|NW_015149016.1_prot_XP_015180396.1_12315, lcl|NW_015149016.1_prot_XP_015180392.1_12313, lcl|NW_015149016.1_prot_XP_015180391.1_12307, lcl|NW_015149016.1_prot_XP_015180389.1_12316, lcl|NW_015149016.1_prot_XP_015180388.1_12310, lcl|NW_015149016.1_prot_XP_015180382.1_12301, lcl|NW_015149016.1_prot_XP_015180390.1_12302, lcl|NW_015149016.1_prot_XP_015180393.1_12303, lcl|NW_015149016.1_prot_XP_015180374.1_12295, lcl|NW_015149016.1_prot_XP_015180381.1_12298, lcl|NW_015149016.1_prot_XP_015180386.1_12300, lcl|NW_015149016.1_prot_XP_015180379.1_12296, lcl|NW_015149016.1_prot_XP_015180375.1_12311, lcl|NW_015149016.1_prot_XP_015180380.1_12297, lcl|NW_015149016.1_prot_XP_015180397.1_12317, lcl|NW_015149016.1_prot_XP_015180383.1_12299, lcl|NW_015149016.1_prot_XP_015180385.1_12309, lcl|NW_015149016.1_prot_XP_015180384.1_12306, lcl|NW_015149016.1_prot_XP_015180394.1_12308, lcl|NW_015149016.1_prot_XP_015180395.1_12314
