Lflavo2a000001P1 lcl|NW_015149102.1_prot_XP_015187713.1_18870
Lflavo2a000003P1 lcl|NW_015149235.1_prot_XP_015189668.1_20602
Lflavo2a000006P1 lcl|NW_015149007.1_prot_XP_015178291.1_10285
Lflavo2a000007P1 lcl|NW_015149102.1_prot_XP_015187717.1_18868
Lflavo2a000010P1 lcl|NW_015149235.1_prot_XP_015189669.1_20600
Lflavo2a000013P1 lcl|NW_015149102.1_prot_XP_015187718.1_18861
Lflavo2a000014P1 lcl|NW_015149235.1_prot_XP_015189666.1_20603
Lflavo2a000015P1 lcl|NW_015149023.1_prot_XP_015181351.1_13166
Lflavo2a000017P2 lcl|NW_015149014.1_prot_XP_015179927.1_11777
Lflavo2a000018P1 lcl|NW_015148975.1_prot_XP_015191435.1_3449
Lflavo2a000021P3 lcl|NW_015148970.1_prot_XP_015190441.1_140
Lflavo2a000022P2 lcl|NW_015148999.1_prot_XP_015176795.1_9058
Lflavo2a000024P1 lcl|NW_015148972.1_prot_XP_015187117.1_1857
Lflavo2a000026P1 lcl|NW_015148972.1_prot_XP_015182738.1_1840
Lflavo2a000028P2 lcl|NW_015148975.1_prot_XP_015191302.1_3444
Lflavo2a000030P1 lcl|NW_015149014.1_prot_XP_015179939.1_11775
Lflavo2a000035P1 lcl|NW_015148972.1_prot_XP_015182906.1_1856
Lflavo2a000036P1 lcl|NW_015148975.1_prot_XP_015191185.1_3101
Lflavo2a000038P1 lcl|NW_015148990.1_prot_XP_015174546.1_7041
Lflavo2a000040P1 lcl|NW_015148975.1_prot_XP_015191183.1_3100
Lflavo2a000041P1 lcl|NW_015148970.1_prot_XP_015174365.1_134
Lflavo2a000043P4 lcl|NW_015148975.1_prot_XP_015191434.1_3451
Lflavo2a000044P1 lcl|NW_015148970.1_prot_XP_015190381.1_135
Lflavo2a000045P1 lcl|NW_015148990.1_prot_XP_015174601.1_7046
Lflavo2a000046P1 lcl|NW_015148972.1_prot_XP_015186943.1_1864
Lflavo2a000046P4 lcl|NW_015148972.1_prot_XP_015186952.1_1865
Lflavo2a000047P2 lcl|NW_015148975.1_prot_XP_015191184.1_3104
Lflavo2a000052P1 lcl|NW_015148990.1_prot_XP_015174567.1_7047
Lflavo2a000053P1 lcl|NW_015148972.1_prot_XP_015182769.1_1843
Lflavo2a000055P1 lcl|NW_015148970.1_prot_XP_015190404.1_137
Lflavo2a000056P2 lcl|NW_015149014.1_prot_XP_015179925.1_11776
Lflavo2a000057P1 lcl|NW_015148970.1_prot_XP_015190462.1_142
Lflavo2a000058P1 lcl|NW_015149014.1_prot_XP_015179965.1_11783
Lflavo2a000059P1 lcl|NW_015148972.1_prot_XP_015182847.1_1844
Lflavo2a000062P1 lcl|NW_015149014.1_prot_XP_015179815.1_11779
Lflavo2a000063P1 lcl|NW_015148970.1_prot_XP_015190417.1_139
Lflavo2a000064P1 lcl|NW_015148972.1_prot_XP_015182782.1_1849
Lflavo2a000065P1 lcl|NW_015148975.1_prot_XP_015191514.1_3443
Lflavo2a000066P1 lcl|NW_015149097.1_prot_XP_015187505.1_18643
Lflavo2a000068P1 lcl|NW_015148970.1_prot_XP_015190430.1_138
Lflavo2a000069P1 lcl|NW_015149014.1_prot_XP_015179962.1_11780
Lflavo2a000070P1 lcl|NW_015149014.1_prot_XP_015179926.1_11778
Lflavo2a000071P1 lcl|NW_015148970.1_prot_XP_015172022.1_133
Lflavo2a000072P1 lcl|NW_015148975.1_prot_XP_015191188.1_3105
Lflavo2a000074P1 lcl|NW_015148997.1_prot_XP_015176318.1_8550
Lflavo2a000076P1 lcl|NW_015148976.1_prot_XP_015191636.1_3598
Lflavo2a000077P1 lcl|NW_015149014.1_prot_XP_015179848.1_11874
Lflavo2a000080P1 lcl|NW_015149072.1_prot_XP_015186004.1_17356
Lflavo2a000081P1 lcl|NW_015148976.1_prot_XP_015191836.1_3594
Lflavo2a000083P1 lcl|NW_015148976.1_prot_XP_015191709.1_3586
Lflavo2a000085P1 lcl|NW_015148997.1_prot_XP_015176279.1_8565
Lflavo2a000086P1 lcl|NW_015148997.1_prot_XP_015176259.1_8560
Lflavo2a000086P3 lcl|NW_015148997.1_prot_XP_015176261.1_8562
Lflavo2a000088P1 lcl|NW_015149076.1_prot_XP_015186338.1_17629
Lflavo2a000090P1 lcl|NW_015148981.1_prot_XP_015172558.1_5246
Lflavo2a000091P1 lcl|NW_015148997.1_prot_XP_015176266.1_8563
Lflavo2a000093P1 lcl|NW_015148997.1_prot_XP_015176334.1_8602
Lflavo2a000094P1 lcl|NW_015148976.1_prot_XP_015191643.1_3599
Lflavo2a000096P1 lcl|NW_015148976.1_prot_XP_015191710.1_3585
Lflavo2a000098P1 lcl|NW_015149058.1_prot_XP_015184968.1_16412
Lflavo2a000099P1 lcl|NW_015148997.1_prot_XP_015176254.1_8555
Lflavo2a000101P1 lcl|NW_015148997.1_prot_XP_015176238.1_8553
Lflavo2a000104P1 lcl|NW_015149076.1_prot_XP_015186350.1_17624
Lflavo2a000105P5 lcl|NW_015148976.1_prot_XP_015191830.1_3589
Lflavo2a000106P3 lcl|NW_015148997.1_prot_XP_015176277.1_8575
Lflavo2a000108P1 lcl|NW_015148997.1_prot_XP_015176316.1_8548
Lflavo2a000110P1 lcl|NW_015149058.1_prot_XP_015185031.1_16408
Lflavo2a000111P1 lcl|NW_015148976.1_prot_XP_015191708.1_3587
Lflavo2a000112P1 lcl|NW_015149058.1_prot_XP_015184964.1_16411
Lflavo2a000113P1 lcl|NW_015148997.1_prot_XP_015176361.1_8601
Lflavo2a000114P1 lcl|NW_015149076.1_prot_XP_015186340.1_17636
Lflavo2a000115P1 lcl|NW_015148981.1_prot_XP_015172525.1_5248
Lflavo2a000118P1 lcl|NW_015148997.1_prot_XP_015176317.1_8549
Lflavo2a000119P1 lcl|NW_015148976.1_prot_XP_015191820.1_3588
Lflavo2a000120P1 lcl|NW_015148976.1_prot_XP_015191707.1_3584
Lflavo2a000124P1 lcl|NW_015148976.1_prot_XP_015191762.1_3583
Lflavo2a000126P1 lcl|NW_015148976.1_prot_XP_015191552.1_3666
Lflavo2a000129P1 lcl|NW_015148976.1_prot_XP_015191834.1_3592
Lflavo2a000130P1 lcl|NW_015149076.1_prot_XP_015186341.1_17627
Lflavo2a000131P1 lcl|NW_015149014.1_prot_XP_015179845.1_11870
Lflavo2a000133P1 lcl|NW_015148981.1_prot_XP_015172546.1_5245
Lflavo2a000134P1 lcl|NW_015149014.1_prot_XP_015179814.1_11873
Lflavo2a000135P1 lcl|NW_015149076.1_prot_XP_015186332.1_17635
Lflavo2a000136P1 lcl|NW_015148976.1_prot_XP_015191560.1_3667
Lflavo2a000139P1 lcl|NW_015148997.1_prot_XP_015176256.1_8557
Lflavo2a000140P1 lcl|NW_015148976.1_prot_XP_015191759.1_3581
Lflavo2a000141P1 lcl|NW_015148981.1_prot_XP_015172547.1_5251
Lflavo2a000145P1 lcl|NW_015148976.1_prot_XP_015191547.1_3595
Lflavo2a000146P1 lcl|NW_015149007.1_prot_XP_015178201.1_10148
Lflavo2a000146P2 lcl|NW_015149007.1_prot_XP_015178204.1_10150
Lflavo2a000147P1 lcl|NW_015149058.1_prot_XP_015185049.1_16410
Lflavo2a000148P1 lcl|NW_015148976.1_prot_XP_015191631.1_3665
Lflavo2a000149P1 lcl|NW_015149076.1_prot_XP_015186345.1_17625
Lflavo2a000150P1 lcl|NW_015148976.1_prot_XP_015191588.1_3596
Lflavo2a000151P1 lcl|NW_015149076.1_prot_XP_015186333.1_17630
Lflavo2a000156P1 lcl|NW_015149023.1_prot_XP_015181420.1_13285
Lflavo2a000157P1 lcl|NW_015149139.1_prot_XP_015188800.1_19835
Lflavo2a000157P2 lcl|NW_015149139.1_prot_XP_015188798.1_19841
Lflavo2a000158P1 lcl|NW_015149023.1_prot_XP_015181507.1_13287
Lflavo2a000159P3 lcl|NW_015149023.1_prot_XP_015181502.1_13292
Lflavo2a000160P1 lcl|NW_015149070.1_prot_XP_015185949.1_17279
Lflavo2a000163P1 lcl|NW_015149023.1_prot_XP_015181503.1_13288
