Orthogroup	Liostenogaster_flavolineata	Nasonia_vitripennis
OG0000000	Lflavo2a001712P1, Lflavo2a001701P1	XP_031786638.1, XP_031786633.1, XP_031786656.1, XP_032455792.1, XP_031786628.1, XP_016836535.1, XP_031786641.1, XP_032455773.1, XP_016836534.1, XP_031786659.1, XP_031786648.1, XP_031786621.1, XP_031786566.1, XP_031786530.1, XP_031786674.1, XP_031786570.1, XP_031786610.1, XP_032455757.1, XP_032455731.1, XP_031786609.1, XP_031786652.1, XP_031786598.1, XP_031786595.1, XP_016836533.1, XP_031786560.1, XP_031786489.1, XP_031786550.1, XP_031786482.1, XP_031786536.1, XP_031786504.1, XP_031786515.1, XP_031786606.1, XP_031786544.1, XP_031786494.1, XP_031786523.1, XP_031786553.1, XP_032455790.1, XP_031786495.1, XP_031786584.1, XP_031786668.1, XP_031786539.1, XP_031786575.1, XP_031786581.1, XP_031786534.1, XP_031786528.1, XP_031786549.1, XP_031786579.1, XP_031786592.1, XP_031786590.1, XP_031786617.1
OG0000001	Lflavo2a002631P1, Lflavo2a001847P1, Lflavo2a009517P1, Lflavo2a010000P1, Lflavo2a010005P1, Lflavo2a010009P1, Lflavo2a010023P1, Lflavo2a009988P1, Lflavo2a010004P1, Lflavo2a013404P1, Lflavo2a004055P1, Lflavo2a009091P1, Lflavo2a002872P1	NP_001177557.1, NP_001177558.1, XP_031784326.1, XP_031784327.1, NP_001177703.1, NP_001177554.1, XP_031784325.1, XP_031781942.1, NP_001177555.1, XP_031781941.1, XP_031781943.1, XP_031781944.1, NP_001177556.1, XP_031789369.1, NP_001164416.1, XP_031781934.1, NP_001177548.1, NP_001177549.1, XP_031789460.1, XP_016836814.1, XP_031789458.1, XP_032452007.1, XP_031789456.1, XP_031789457.1, NP_001177547.1, XP_032452241.1, NP_001177700.1, NP_001177701.1, NP_001177540.1, NP_001177537.1, NP_001177696.1, NP_001177640.2, XP_008214845.1, NP_001177539.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001177544.1, NP_001177545.1, NP_001177542.1, XP_008213309.1, XP_031778221.1, XP_031778222.1, XP_031777522.1, NP_001177541.1, XP_016845719.1, XP_031777521.1, XP_016845722.1, NP_001164404.1, NP_001164405.1, NP_001177550.1, XP_031787665.1, XP_032456677.1, XP_032455437.1, XP_031786359.1, XP_031786356.1, XP_031786357.1, XP_031786358.1, NP_001164411.1, NP_001177553.1, XP_031778267.1, NP_001177423.1, NP_001177551.1, NP_001177702.1, XP_031783066.1, NP_001177567.1, NP_001177568.1, NP_001177572.1, NP_001177569.1, NP_001177571.1
OG0000002	Lflavo2a014099P1, Lflavo2a014173P1	XP_031779383.1, XP_032453495.1, XP_031779381.1, XP_032453497.1, XP_032453496.1, XP_031779382.1, XP_031779380.1, XP_031779367.1, XP_016838454.1, XP_016838452.1, XP_032453494.1, XP_031779365.1, XP_031779370.1, XP_031779373.1, XP_031779379.1, XP_031779377.1, XP_031779368.1, XP_031779366.1, XP_031779384.1, XP_031779371.1, XP_031779374.1, XP_016838461.1, XP_016838459.1, XP_031779386.1, XP_031779376.1, XP_031779372.1, XP_016838450.1, XP_031779378.1, XP_016838437.1, XP_016838438.1, XP_016838447.1, XP_031779385.1
OG0000003	Lflavo2a002907P1	XP_016839036.1, XP_008206519.1, XP_016839043.1, XP_032454313.1, XP_003426347.1, XP_016839040.1, XP_032454309.1, XP_003426346.1, XP_032454316.1, XP_008206518.1, XP_008206521.1, XP_008206509.1, XP_016839034.1, XP_016839038.1, XP_031783494.1, XP_032454311.1, XP_031783493.1, XP_016839041.1, XP_032454310.1, XP_016839044.1, XP_008206520.1, XP_031783492.1, XP_016839031.1, XP_016839032.1, XP_016839033.1, XP_016839042.1, XP_016839037.1, XP_032454308.1, XP_031783491.1, XP_008206517.1, XP_032454314.1, XP_008206513.1, XP_008206512.1, XP_016839035.1, XP_032454307.1
OG0000004	Lflavo2a000983P1	XP_032452142.1, XP_032452136.1, XP_032452143.1, XP_032452148.1, XP_032452137.1, NP_001128389.1, XP_032452147.1, XP_032452149.1, XP_032452141.1, XP_032452140.1, XP_032452138.1, XP_032452139.1, XP_032452133.1, XP_032452134.1, XP_032452146.1, XP_032452135.1, NP_001128390.1, XP_032452145.1, XP_032452144.1, XP_032452132.1, XP_032452131.1
OG0000005	Lflavo2a009800P1	XP_032453135.1, XP_032453134.1, XP_032453136.1, XP_032453133.1, XP_032453131.1, XP_032453132.1, XP_031779431.1, XP_031779432.1, XP_031779433.1, XP_031779434.1, XP_031779445.1, XP_032453130.1, XP_031779437.1, XP_031779429.1, XP_031779427.1, XP_031779435.1, XP_031779426.1, XP_031779425.1, XP_031779443.1, XP_031779442.1, XP_031779439.1, XP_031779441.1, XP_031779436.1, XP_031779424.1, XP_031779414.1, XP_031779416.1, XP_031779413.1, XP_031779430.1, XP_031779428.1, XP_031779417.1, XP_031779415.1, XP_031779418.1, XP_031779420.1, XP_031779419.1, XP_031779423.1, XP_031779421.1, XP_031779440.1
OG0000006	Lflavo2a002602P4, Lflavo2a002602P2, Lflavo2a002602P6, Lflavo2a002602P7, Lflavo2a002602P8, Lflavo2a002602P1, Lflavo2a002602P3, Lflavo2a002602P5	XP_031787140.1, XP_031787141.1, XP_031787142.1, XP_031787150.1, XP_031787146.1, XP_032456420.1, XP_031787164.1, XP_032456432.1, XP_032456430.1, XP_031787160.1, XP_031787162.1, XP_032456427.1, XP_032456428.1, XP_032456429.1, XP_031787144.1, XP_031787161.1, XP_032456426.1, XP_032456419.1, XP_031787165.1, XP_032456433.1, XP_031787159.1, XP_032456425.1, XP_031787158.1, XP_032456424.1, XP_031787143.1, XP_031787154.1, XP_032456423.1, XP_031787152.1, XP_031787163.1, XP_032456431.1, XP_031787151.1, XP_032456422.1, XP_031787167.1, XP_031787149.1, XP_032456421.1
OG0000007	Lflavo2a009204P1	XP_016837595.1, XP_032452632.1, XP_031778801.1, XP_032452631.1, XP_016837596.1, XP_031778802.1, XP_031778804.1, XP_032452634.1, XP_016837599.1, XP_032452633.1, XP_031778795.1, XP_031778805.1, XP_032452635.1, XP_031778806.1, XP_031778796.1, XP_032452630.1, XP_031778803.1, XP_016837598.1, XP_031778799.1, XP_032452638.1, XP_032452639.1, XP_016837597.1, XP_031778794.1, XP_032452626.1, XP_032452627.1, XP_016837602.1, XP_031778809.1, XP_031778810.1, XP_031778798.1, XP_032452636.1, XP_031778808.1, XP_032452637.1, XP_016837600.1, XP_031778797.1, XP_031778807.1
OG0000008	Lflavo2a013737P5, Lflavo2a013737P3, Lflavo2a013737P4, Lflavo2a013737P1, Lflavo2a013737P2	XP_008204384.1, XP_031780861.1, XP_016838008.1, XP_008204382.1, XP_008204376.1, XP_031780854.1, XP_031780853.1, XP_032453245.1, XP_031780855.1, XP_008204383.1, XP_031780860.1, XP_008204379.1, XP_008204381.1, XP_008204377.1, XP_031780858.1, XP_008204380.1, XP_031780862.1, XP_031780852.1, XP_032453251.1, XP_031780845.1, XP_031780850.1, XP_008204366.1, XP_008204373.1, XP_031780847.1, XP_031780851.1, XP_008204375.1, XP_032453250.1, XP_032453249.1, XP_008204370.1
OG0000009	Lflavo2a011938P1, Lflavo2a011982P1, Lflavo2a011959P1, Lflavo2a011966P1, Lflavo2a011971P1, Lflavo2a011017P1, Lflavo2a008983P1, Lflavo2a008990P1, Lflavo2a011983P1, Lflavo2a011944P1, Lflavo2a011949P1, Lflavo2a011989P1, Lflavo2a011978P1, Lflavo2a011990P1, Lflavo2a011952P1, Lflavo2a011976P1	NP_001177430.1, NP_001177434.1, NP_001177467.1, NP_001177435.1, NP_001177432.1, NP_001177433.1, XP_032453629.1, NP_001177431.1
