Orthogroup	Liostenogaster_flavolineata	Apis_mellifera
OG0000000	Lflavo2a001712P1, Lflavo2a001701P1	XP_026295718.1, XP_026295717.1, XP_026295722.1, XP_026295719.1, XP_026295716.1, XP_026295720.1, XP_026295721.1, XP_026295715.1, XP_026295712.1, XP_026295713.1, XP_026295714.1, XP_026295685.1, XP_026295725.1, XP_026295723.1, XP_026295724.1, XP_026295689.1, XP_026295687.1, XP_026295694.1, XP_026295690.1, NP_001014991.1, XP_026295727.1, XP_026295726.1, XP_026295728.1, XP_026295729.1, XP_026295691.1, XP_026295692.1, XP_026295688.1, XP_026295683.1, XP_026295682.1, XP_026295681.1, XP_026295684.1, XP_026295700.1, XP_026295695.1, XP_026295697.1, XP_026295696.1, XP_026295680.1, XP_026295702.1, XP_026295699.1, XP_026295703.1, XP_026295704.1, XP_026295711.1, XP_026295709.1, XP_026295710.1, XP_026295701.1, XP_026295707.1, XP_026295686.1, XP_026295706.1, XP_026295705.1, XP_026295708.1
OG0000001	Lflavo2a002631P1, Lflavo2a001847P1, Lflavo2a009517P1	XP_026299403.1
OG0000001	Lflavo2a010000P1, Lflavo2a010005P1, Lflavo2a010009P1, Lflavo2a010023P1, Lflavo2a009988P1, Lflavo2a010004P1, Lflavo2a013404P1, Lflavo2a004055P1, Lflavo2a009091P1, Lflavo2a002872P1	XP_006562272.1, XP_016771123.1, NP_001229916.1, XP_016770849.2, XP_006562271.1, XP_026300185.1, XP_006562273.2, NP_001229917.1, XP_026299914.1
OG0000002	Lflavo2a014099P1, Lflavo2a014173P1	XP_026295097.1, XP_026295096.1, XP_026295121.1, XP_026295104.1, XP_026295099.1, XP_026295119.1, XP_026295115.1, XP_026295107.1, XP_026295105.1, XP_026295095.1, XP_026295103.1, XP_026295111.1, XP_026295108.1, XP_026295106.1, XP_026295102.1, XP_026295094.1, XP_016766538.1, XP_016766527.1, XP_016766532.1, XP_016766537.1, XP_026295120.1, XP_026295117.1, XP_026295098.1, XP_026295101.1, XP_006558004.1, XP_026295109.1, XP_026295112.1, XP_026295110.1, XP_026295113.1, XP_026295118.1, XP_026295114.1, NP_001159376.1, XP_026295116.1
OG0000003	Lflavo2a002907P1	XP_006563250.1, XP_006563245.1, XP_006563248.1, XP_006563251.1, XP_006563253.1, XP_006563254.1, XP_006563243.1, XP_006563239.1, XP_396853.3, XP_006563235.1, XP_006563237.1, XP_006563229.1, XP_006563231.1, XP_006563242.1, XP_006563249.1, XP_006563252.1, XP_006563226.1, XP_016772566.1, XP_006563236.1, XP_006563233.1, XP_006563247.1, XP_006563234.1, XP_006563246.1, XP_006563228.1, XP_026301721.1, XP_016772571.1, XP_016772568.1, XP_016772570.1, XP_006563232.1, XP_006563227.1, XP_006563241.1, XP_006563238.1, XP_006563230.1, XP_006563244.1
OG0000004	Lflavo2a000983P1	XP_026298390.1, XP_026298392.1, XP_026298387.1, XP_026298393.1, XP_006561600.1, XP_026298389.1, XP_026298386.1, XP_016769326.1, XP_006561591.1, XP_026298385.1, XP_006561602.1, XP_006561604.1, XP_006561589.1, XP_006561596.1, XP_006561584.1, XP_006561587.1, NP_001159377.1, XP_006561593.1, XP_006561588.1, XP_006561603.1, XP_016769323.1, XP_006561608.1, XP_016769325.1, XP_006561592.1, XP_006561607.1, XP_026298388.1, XP_016769319.1, XP_006561598.1, XP_006561606.1, XP_006561595.1, XP_006561583.1, XP_006561601.1, XP_006561590.1, XP_016769327.1, XP_026298394.1, XP_026298384.1
OG0000005	Lflavo2a009800P1	XP_006571243.1, XP_006571236.1, XP_006571237.1, XP_016771359.1, XP_006571238.1, XP_006571234.1, XP_006571241.1, XP_006571242.1, XP_006571235.1, XP_006571233.1, XP_006571228.1, XP_006571230.1, XP_006571231.1, XP_006571232.1, XP_016771305.1, XP_026302125.1, XP_006571239.1, XP_006571240.1, XP_006571246.1, XP_006571247.1, XP_006571244.1, XP_006571248.1, XP_006571245.1
OG0000006	Lflavo2a002602P4, Lflavo2a002602P2, Lflavo2a002602P6, Lflavo2a002602P7, Lflavo2a002602P8, Lflavo2a002602P1, Lflavo2a002602P3, Lflavo2a002602P5	XP_006567613.1, XP_006567615.1, XP_006567634.1, XP_016769359.1, XP_006567540.1, XP_006567541.1, XP_006567543.1, XP_006567544.1, XP_026298611.1, XP_016769360.1, XP_006567625.1, XP_016769352.1, XP_006567607.1, XP_006567576.1, XP_016769355.1, XP_006567590.1, XP_006567578.1, XP_006567583.1, XP_006567624.1, XP_016769353.1, XP_016769356.1, XP_026298610.1, XP_006567593.1, XP_006567628.1, XP_016769354.1, XP_006567632.1, XP_006567589.1, XP_006567579.1, XP_016769358.1, XP_006567586.1, XP_006567604.1, XP_006567609.1, XP_006567602.1, XP_006567592.2, XP_006567595.1, XP_006567622.1, XP_006567623.1, XP_006567608.1, XP_006567599.1, XP_006567614.1, XP_006567627.1, XP_006567563.1, XP_006567564.1, XP_026298612.1, XP_006567594.1, XP_006567587.1, XP_006567626.1, XP_006567617.1, XP_006567591.1, XP_006567600.1
OG0000007	Lflavo2a009204P1	XP_006569858.1, XP_006569862.1, XP_006569863.1, XP_016768904.1, XP_016768908.1, XP_016768920.1, XP_026297946.1, XP_026297944.1, XP_026297943.1, XP_016768911.1, XP_016768906.1, XP_016768905.1, XP_016768912.1, XP_026297939.1, XP_016768916.1, XP_026297940.1, XP_026297938.1, XP_006569864.1, XP_016768921.1, XP_016768913.1, XP_026297945.1, XP_016768917.1, XP_016768919.1, XP_016768914.1, XP_006569866.1, XP_026297942.1, XP_016768915.1, XP_006569857.1, XP_006569868.1, XP_016768907.1, XP_026297947.1, XP_006569860.1, XP_006569859.1, XP_006569861.1
OG0000008	Lflavo2a013737P5, Lflavo2a013737P3, Lflavo2a013737P4, Lflavo2a013737P1, Lflavo2a013737P2	XP_006560595.1, XP_016767057.1, XP_016767056.1, XP_006560594.1, XP_006560598.1, XP_006560603.1, XP_006560593.1, XP_006560590.1, XP_006560588.1, XP_016767054.1, XP_016767053.1, XP_006560592.1, NP_001128422.1, XP_006560577.1, XP_006560589.1, XP_006560597.1, XP_006560596.1, XP_016767052.1, XP_026295745.1, XP_006560572.1, XP_026295740.1, XP_026295739.1, XP_026295744.1, XP_026295743.1, XP_026295748.1, XP_026295750.1, XP_026295749.1, XP_006560591.1, XP_016767055.1, XP_026295742.1, XP_006560575.1, XP_016767051.1, XP_006560582.1, XP_006560587.1
