Orthogroup	Liostenogaster_flavolineata	Drosophila_melanogaster
OG0000000	Lflavo2a001712P1, Lflavo2a001701P1	NP_001036477.1, NP_001036515.1, NP_001246169.1, NP_001036484.1, NP_001036492.1, NP_001246179.1, NP_001036518.1, NP_001036490.1, NP_001036499.1, NP_001036482.1, NP_001036514.1, NP_001036491.1, NP_001036524.1, NP_001036527.1, NP_001036500.1, NP_001246177.1, NP_001036510.1, NP_001036525.1, NP_001246168.1, NP_001036506.1, NP_001246170.1, NP_001246181.1, NP_001036520.1, NP_001036498.1, NP_001246162.1, NP_001246164.1, NP_001246165.1, NP_001246167.1, NP_001246163.1, NP_001246166.1, NP_001036493.1, NP_001036495.1, NP_001036476.1, NP_001246173.1, NP_001246180.1, NP_001036503.1, NP_995769.1, NP_001246176.1, NP_001036504.1, NP_001036501.1, NP_001036502.1, NP_001036521.1, NP_001036481.1, NP_001036494.1, NP_001036478.1, NP_001036505.1, NP_001036488.1, NP_001036526.1, NP_001036512.1, NP_001246175.1, NP_001036528.1, NP_523649.5, NP_724542.1, NP_724543.1, NP_001036485.1, NP_001036522.1, NP_001036517.1, NP_001036509.1, NP_724544.2, NP_001246171.1, NP_001036529.1, NP_001036486.1, NP_001036479.1, NP_001036480.1, NP_001036516.1, NP_001246174.1, NP_001036513.1, NP_001246178.1, NP_001036483.1, NP_001036487.1, NP_001036523.1
OG0000002	Lflavo2a014099P1, Lflavo2a014173P1	NP_001356943.1, NP_001356945.1, NP_001356944.1, NP_996419.1, NP_996418.1, NP_001014732.1, NP_996416.1, NP_996420.1, NP_001259477.1, NP_001014733.1, NP_001245638.1, NP_001014734.1, NP_001245636.1, NP_511133.2, NP_001245637.1, NP_001245639.1, NP_996417.1, NP_001014735.1
OG0000003	Lflavo2a002907P1	NP_477070.1, NP_477069.1, NP_996521.1, NP_996522.1, NP_477076.1, NP_001285486.1, NP_477074.1, NP_001303578.1, NP_001368966.1, NP_001285482.2, NP_001285483.2, NP_001303576.1, NP_001303577.1, NP_728323.3, NP_001285481.1, NP_996516.1, NP_001285480.1, NP_477072.1, NP_477077.1, NP_477079.1, NP_001285487.1, NP_477075.2, NP_477073.1, NP_477078.1, NP_477071.1
OG0000004	Lflavo2a000983P1	NP_001188621.1, NP_001188620.1, NP_001036281.1, NP_001188619.1, NP_001188648.1, NP_001188603.1, NP_001188632.1, NP_001188631.1, NP_001188645.1, NP_001188629.1, NP_001188634.1, NP_001188615.1, NP_001188616.1, NP_001188635.1, NP_001188649.1, NP_001285333.1, NP_001188651.1, NP_001188646.1, NP_001188647.1, NP_001188637.1, NP_001188625.1, NP_001138205.1, NP_001036280.1, NP_001188626.1, NP_001188600.1, NP_001259619.1, NP_001285332.1, NP_523371.2, NP_001188611.1, NP_001188608.1, NP_001188636.1, NP_001188640.1, NP_001188627.1, NP_001188601.1, NP_001188605.1
OG0000005	Lflavo2a009800P1	NP_001014462.1, NP_476936.3, NP_599125.1, NP_599126.1, NP_001285569.1, NP_476937.3, NP_599124.1, NP_599127.1, NP_001096965.1, NP_001245646.1, NP_001245648.1, NP_001259497.1, NP_001259498.1, NP_572842.1, NP_001245647.1, NP_001245649.2, NP_001285173.1
OG0000007	Lflavo2a009204P1	NP_523587.4, NP_001162990.1, NP_724005.1, NP_724003.1, NP_723999.1, NP_724001.1, NP_001162991.1, NP_724000.1, NP_001246048.1, NP_724002.2, NP_001246049.1, NP_001303327.1, NP_724004.1, NP_001246051.1, NP_724006.1, NP_001246050.1, NP_724008.1, NP_724009.1, NP_724010.1, NP_001162992.1, NP_724007.1
OG0000008	Lflavo2a013737P5, Lflavo2a013737P3, Lflavo2a013737P4, Lflavo2a013737P1, Lflavo2a013737P2	NP_001162832.1, NP_726635.2, NP_001259084.1, NP_001259083.1, NP_001162833.1, NP_001259082.1, NP_001014696.1, NP_726634.1, NP_726636.2, NP_001162831.1, NP_524635.3, NP_726633.2
OG0000012	Lflavo2a008554P1, Lflavo2a004730P1, Lflavo2a009509P1, Lflavo2a013167P1, Lflavo2a013147P1, Lflavo2a013139P1, Lflavo2a013165P1, Lflavo2a009551P1	NP_995793.1, NP_995794.1
OG0000013	Lflavo2a012256P1	NP_723740.1, NP_001260403.1, NP_723737.1, NP_001260404.1, NP_001260405.1, NP_001260406.1, NP_001260407.1, NP_001162963.1, NP_723739.1, NP_723738.2
OG0000014	Lflavo2a005359P21, Lflavo2a005359P28, Lflavo2a005359P24, Lflavo2a005359P16, Lflavo2a005359P22, Lflavo2a005359P19, Lflavo2a005359P4, Lflavo2a005359P25, Lflavo2a005359P18, Lflavo2a005359P12, Lflavo2a005359P11, Lflavo2a005359P30, Lflavo2a005359P10, Lflavo2a005359P5, Lflavo2a005359P23, Lflavo2a005359P2, Lflavo2a005359P1, Lflavo2a005359P31, Lflavo2a005359P14, Lflavo2a005359P13, Lflavo2a005359P26, Lflavo2a005359P20, Lflavo2a005359P7, Lflavo2a005359P29, Lflavo2a005359P6, Lflavo2a005359P3, Lflavo2a005359P15, Lflavo2a005359P27, Lflavo2a005359P17, Lflavo2a005359P9, Lflavo2a005359P8	NP_001163569.1, NP_001163570.1, NP_649901.1
