Lflavo2a000001P1 NP_001014747.1
Lflavo2a000007P1 NP_649959.1
Lflavo2a000010P1 NP_001261097.1
Lflavo2a000013P1 NP_001137538.2
Lflavo2a000014P1 NP_733115.1
Lflavo2a000015P1 NP_001259969.1
Lflavo2a000017P2 NP_001285170.1
Lflavo2a000021P3 NP_728672.1
Lflavo2a000024P1 NP_524097.2
Lflavo2a000026P1 NP_001188904.1
Lflavo2a000027P1 NP_001287583.1
Lflavo2a000028P2 NP_001260427.1
Lflavo2a000030P1 NP_001259184.1
Lflavo2a000036P1 NP_996490.1
Lflavo2a000038P1 NP_476590.1
Lflavo2a000041P1 NP_525117.2
Lflavo2a000044P1 NP_788911.2
Lflavo2a000046P2 NP_001286450.1
Lflavo2a000047P2 NP_001162967.1
Lflavo2a000052P1 NP_611422.2
Lflavo2a000053P1 NP_001260672.1
Lflavo2a000055P1 NP_610986.1
Lflavo2a000056P2 NP_001188530.1
Lflavo2a000058P1 NP_649489.1
Lflavo2a000059P1 NP_001285997.1
Lflavo2a000061P1 NP_001260232.1
Lflavo2a000062P1 NP_648904.1
Lflavo2a000063P1 NP_725347.1
Lflavo2a000064P1 NP_001286000.1
Lflavo2a000065P1 NP_001303371.1
Lflavo2a000066P1 NP_647620.1
Lflavo2a000069P1 NP_001285452.1
Lflavo2a000070P1 NP_001189308.1
Lflavo2a000071P1 NP_001163296.1
Lflavo2a000074P1 NP_724710.1
Lflavo2a000086P2 NP_001036254.1
Lflavo2a000091P1 NP_651978.2
Lflavo2a000093P1 NP_649865.1
Lflavo2a000094P1 NP_611382.1
Lflavo2a000099P1 NP_001137621.1
Lflavo2a000101P1 NP_001287372.1
Lflavo2a000106P3 NP_001259304.1
Lflavo2a000108P1 NP_001096954.1
Lflavo2a000110P1 NP_651750.1
Lflavo2a000112P1 NP_001262723.1
Lflavo2a000113P1 NP_610107.1
Lflavo2a000114P1 NP_001261608.1
Lflavo2a000118P1 NP_523792.2
Lflavo2a000119P1 NP_001261257.1
Lflavo2a000120P1 NP_001261524.1
Lflavo2a000124P1 NP_001137904.1
Lflavo2a000126P1 NP_730622.1
Lflavo2a000129P1 NP_608580.2
Lflavo2a000133P1 NP_608827.1
Lflavo2a000136P1 NP_725289.1
Lflavo2a000139P1 NP_610502.1
Lflavo2a000140P1 NP_001189293.1
Lflavo2a000141P1 NP_001027407.2
Lflavo2a000145P1 NP_649012.2
Lflavo2a000146P2 NP_001285802.1
Lflavo2a000148P1 NP_476949.2
Lflavo2a000149P1 NP_001260047.1
Lflavo2a000150P1 NP_649013.3
Lflavo2a000151P1 NP_477082.1
Lflavo2a000156P1 NP_726324.3
Lflavo2a000157P1 NP_001246911.1
Lflavo2a000157P2 NP_730864.1
Lflavo2a000159P2 NP_001245595.1
Lflavo2a000160P1 NP_610523.2
Lflavo2a000164P1 NP_001138160.2
Lflavo2a000165P1 NP_572237.1
Lflavo2a000168P1 NP_001245596.1
Lflavo2a000169P1 NP_651552.1
Lflavo2a000170P1 NP_001260534.1
Lflavo2a000172P1 NP_001286255.1
Lflavo2a000186P1 NP_001259370.1
Lflavo2a000191P1 NP_524583.1
Lflavo2a000192P1 NP_523551.1
Lflavo2a000193P1 NP_001188872.1
Lflavo2a000194P1 NP_729340.1
Lflavo2a000197P1 NP_733206.3
Lflavo2a000199P2 NP_001262881.1
Lflavo2a000200P1 NP_572285.2
Lflavo2a000201P1 NP_001262561.1
Lflavo2a000204P1 NP_608350.2
Lflavo2a000205P1 NP_650338.1
Lflavo2a000206P1 NP_001285522.1
Lflavo2a000207P1 NP_731237.1
Lflavo2a000208P1 NP_572797.3
Lflavo2a000209P1 NP_609016.2
Lflavo2a000210P1 NP_476741.1
Lflavo2a000212P1 NP_001014485.3
Lflavo2a000213P1 NP_001261435.1
Lflavo2a000214P1 NP_722873.1
Lflavo2a000215P1 NP_608971.2
Lflavo2a000216P1 NP_650562.1
Lflavo2a000217P1 NP_001262072.1
Lflavo2a000219P1 NP_610499.2
Lflavo2a000220P1 NP_649470.2
Lflavo2a000221P1 NP_001247184.1
Lflavo2a000223P1 NP_001285979.1
Lflavo2a000225P1 NP_001262001.1
Lflavo2a000226P1 NP_523833.1
Lflavo2a000227P1 NP_726548.1
Lflavo2a000229P1 NP_001189184.1
Lflavo2a000230P1 NP_524075.2
Lflavo2a000232P1 NP_001260112.1
Lflavo2a000233P1 NP_001303366.1
Lflavo2a000234P1 NP_001261446.1
Lflavo2a000236P1 NP_477184.1
Lflavo2a000237P3 NP_733274.1
Lflavo2a000237P4 NP_733271.1
Lflavo2a000237P5 NP_651672.1
Lflavo2a000238P1 NP_648149.1
Lflavo2a000243P1 NP_001261704.1
Lflavo2a000244P1 NP_611239.1
Lflavo2a000245P1 NP_651614.1
Lflavo2a000246P1 NP_523683.1
Lflavo2a000252P1 NP_524197.1
Lflavo2a000253P1 NP_536736.2
Lflavo2a000256P1 NP_524779.1
Lflavo2a000260P1 NP_001261644.1
Lflavo2a000267P1 NP_001097905.1
Lflavo2a000269P1 NP_001303459.1
Lflavo2a000270P1 NP_001163646.1
Lflavo2a000272P1 NP_648343.1
Lflavo2a000275P3 NP_001260781.1
Lflavo2a000276P1 NP_612046.1
Lflavo2a000278P1 NP_001027444.1
Lflavo2a000280P1 NP_001260567.1
Lflavo2a000281P1 NP_608787.1
Lflavo2a000285P1 NP_524521.1
Lflavo2a000286P1 NP_001260729.1
Lflavo2a000289P1 NP_001261971.1
Lflavo2a000293P1 NP_610361.1
Lflavo2a000294P1 NP_647890.2
Lflavo2a000295P1 NP_001286371.1
Lflavo2a000296P1 NP_001287013.1
