Orthogroup	Liostenogaster_flavolineata	Vespula_vulgaris
OG0000000	Lflavo2a001712P1	KAF7411847.1
OG0000000	Lflavo2a001701P1	KAF7411846.1
OG0000001	Lflavo2a002631P1, Lflavo2a001847P1, Lflavo2a009517P1	KAF7396633.1
OG0000001	Lflavo2a010000P1, Lflavo2a010005P1, Lflavo2a010009P1, Lflavo2a010023P1	KAF7379045.1, KAF7390961.1
OG0000001	Lflavo2a009988P1	KAF7400954.1
OG0000001	Lflavo2a010004P1, Lflavo2a013404P1	KAF7400957.1, KAF7400955.1, KAF7400958.1
OG0000001	Lflavo2a009091P1	KAF7385894.1, KAF7411211.1, KAF7411212.1, KAF7411237.1, KAF7412094.1
OG0000001	Lflavo2a002872P1	KAF7412092.1, KAF7412093.1
OG0000002	Lflavo2a014099P1, Lflavo2a014173P1	KAF7400719.1
OG0000003	Lflavo2a002907P1	KAF7402521.1
OG0000004	Lflavo2a000983P1	KAF7405113.1
OG0000005	Lflavo2a009800P1	KAF7398749.1
OG0000007	Lflavo2a009204P1	KAF7379402.1
OG0000008	Lflavo2a013737P5, Lflavo2a013737P3, Lflavo2a013737P4, Lflavo2a013737P1, Lflavo2a013737P2	KAF7394559.1
OG0000009	Lflavo2a011938P1	KAF7381383.1
OG0000009	Lflavo2a011971P1	KAF7381315.1
OG0000009	Lflavo2a011017P1	KAF7381377.1
OG0000009	Lflavo2a011949P1, Lflavo2a011989P1, Lflavo2a011978P1, Lflavo2a011990P1, Lflavo2a011952P1, Lflavo2a011976P1	KAF7381385.1, KAF7381386.1
OG0000011	Lflavo2a009428P1, Lflavo2a000728P1	KAF7383558.1, KAF7383574.1, KAF7382999.1, KAF7379334.1, KAF7380302.1
OG0000012	Lflavo2a008554P1	KAF7383627.1
OG0000012	Lflavo2a004730P1	KAF7412588.1, KAF7412587.1
OG0000012	Lflavo2a009509P1, Lflavo2a013167P1, Lflavo2a013147P1, Lflavo2a013139P1, Lflavo2a013165P1	KAF7384152.1, KAF7384153.1, KAF7384155.1, KAF7384154.1, KAF7384156.1
OG0000012	Lflavo2a009551P1	KAF7384157.1, KAF7384158.1
OG0000013	Lflavo2a012256P1	KAF7380029.1
OG0000014	Lflavo2a005359P21, Lflavo2a005359P28, Lflavo2a005359P24, Lflavo2a005359P16, Lflavo2a005359P22, Lflavo2a005359P19, Lflavo2a005359P4, Lflavo2a005359P25, Lflavo2a005359P18, Lflavo2a005359P12, Lflavo2a005359P11, Lflavo2a005359P30, Lflavo2a005359P10, Lflavo2a005359P5, Lflavo2a005359P23, Lflavo2a005359P2, Lflavo2a005359P1, Lflavo2a005359P31, Lflavo2a005359P14, Lflavo2a005359P13, Lflavo2a005359P26, Lflavo2a005359P20, Lflavo2a005359P7, Lflavo2a005359P29, Lflavo2a005359P6, Lflavo2a005359P3, Lflavo2a005359P15, Lflavo2a005359P27, Lflavo2a005359P17, Lflavo2a005359P9, Lflavo2a005359P8	KAF7412578.1
OG0000016	Lflavo2a002947P1	KAF7400327.1
OG0000018	Lflavo2a007270P15, Lflavo2a007270P9, Lflavo2a007270P7, Lflavo2a007270P13, Lflavo2a007270P14, Lflavo2a007270P3, Lflavo2a007270P20, Lflavo2a007270P11, Lflavo2a007270P8, Lflavo2a007270P16, Lflavo2a007270P19, Lflavo2a007270P1, Lflavo2a007270P18, Lflavo2a007270P2, Lflavo2a007270P6, Lflavo2a007270P10, Lflavo2a007270P5, Lflavo2a007270P21, Lflavo2a007270P17, Lflavo2a007270P4, Lflavo2a007270P12	KAF7408196.1
OG0000019	Lflavo2a003118P12, Lflavo2a003118P14, Lflavo2a003118P4, Lflavo2a003118P10, Lflavo2a003118P2, Lflavo2a003118P15, Lflavo2a003118P18, Lflavo2a003118P11, Lflavo2a003118P16, Lflavo2a003118P1, Lflavo2a003118P8, Lflavo2a003118P19, Lflavo2a003118P6, Lflavo2a003118P7, Lflavo2a003118P9, Lflavo2a003118P13, Lflavo2a003118P5, Lflavo2a003118P17, Lflavo2a003118P3	KAF7408743.1
OG0000020	Lflavo2a010481P1, Lflavo2a013254P1, Lflavo2a010369P1	KAF7389255.1, KAF7389256.1, KAF7390830.1, KAF7390831.1, KAF7390829.1, KAF7390697.1, KAF7411202.1, KAF7391244.1, KAF7384414.1
OG0000021	Lflavo2a006232P1	KAF7408362.1, KAF7408359.1
OG0000023	Lflavo2a012513P1, Lflavo2a012513P2	KAF7396574.1, KAF7396569.1
OG0000024	Lflavo2a011600P1	KAF7387750.1
OG0000025	Lflavo2a006559P16, Lflavo2a006559P25, Lflavo2a006559P18, Lflavo2a006559P24, Lflavo2a006559P8, Lflavo2a006559P5, Lflavo2a006559P15, Lflavo2a006559P27, Lflavo2a006559P23, Lflavo2a006559P22, Lflavo2a006559P1, Lflavo2a006559P4, Lflavo2a006559P7, Lflavo2a006559P6, Lflavo2a006559P10, Lflavo2a006559P14, Lflavo2a006559P9, Lflavo2a006559P28, Lflavo2a006559P26, Lflavo2a006559P17, Lflavo2a006559P19, Lflavo2a006559P2, Lflavo2a006559P12, Lflavo2a006559P3, Lflavo2a006559P21, Lflavo2a006559P11, Lflavo2a006559P13, Lflavo2a006559P20	KAF7402963.1
