"Liostenogaster_flavolineata","Polistes_dominula"
"Lflavo2a000001","gene9962"
"Lflavo2a000003","gene11018"
"Lflavo2a000006","gene5289"
"Lflavo2a000007","gene9961"
"Lflavo2a000010","gene11017"
"Lflavo2a000013","gene9960"
"Lflavo2a000014","gene11019"
"Lflavo2a000015","gene6827"
"Lflavo2a000017","gene6109"
"Lflavo2a000018","gene1719"
"Lflavo2a000021","gene60"
"Lflavo2a000022","gene4606"
"Lflavo2a000024","gene961"
"Lflavo2a000026","gene954"
"Lflavo2a000028","gene1714"
"Lflavo2a000030","gene6106"
"Lflavo2a000035","gene960"
"Lflavo2a000036","gene1521"
"Lflavo2a000038","gene3542"
"Lflavo2a000040","gene1520"
"Lflavo2a000041","gene55"
"Lflavo2a000043","gene1720"
"Lflavo2a000044","gene56"
"Lflavo2a000045","gene3543"
"Lflavo2a000046","gene962"
"Lflavo2a000047","gene1522"
"Lflavo2a000052","gene3544"
"Lflavo2a000053","gene955"
"Lflavo2a000055","gene57"
"Lflavo2a000056","gene6108"
"Lflavo2a000057","gene61"
"Lflavo2a000058","gene6113"
"Lflavo2a000059","gene957"
"Lflavo2a000062","gene6111"
"Lflavo2a000063","gene59"
"Lflavo2a000064","gene958"
"Lflavo2a000065","gene1713"
"Lflavo2a000066","gene9843"
"Lflavo2a000068","gene58"
"Lflavo2a000069","gene6112"
"Lflavo2a000070","gene6110"
"Lflavo2a000071","gene54"
"Lflavo2a000072","gene1523"
"Lflavo2a000074","gene4328"
"Lflavo2a000076","gene1804"
"Lflavo2a000077","gene6166"
"Lflavo2a000080","gene9176"
"Lflavo2a000081","gene1800"
"Lflavo2a000083","gene1794"
"Lflavo2a000085","gene4340"
"Lflavo2a000086","gene4338"
"Lflavo2a000088","gene9329"
"Lflavo2a000090","gene2662"
"Lflavo2a000091","gene4339"
"Lflavo2a000093","gene4356"
"Lflavo2a000094","gene1805"
"Lflavo2a000096","gene1793"
"Lflavo2a000098","gene8661"
"Lflavo2a000099","gene4333"
"Lflavo2a000101","gene4329"
"Lflavo2a000104","gene9326"
"Lflavo2a000105","gene1797"
"Lflavo2a000106","gene4341"
"Lflavo2a000108","gene4325"
"Lflavo2a000110","gene8657"
"Lflavo2a000111","gene1795"
"Lflavo2a000112","gene8660"
"Lflavo2a000113","gene4355"
"Lflavo2a000114","gene9332"
"Lflavo2a000115","gene2663"
"Lflavo2a000118","gene4327"
"Lflavo2a000119","gene1796"
"Lflavo2a000120","gene1792"
"Lflavo2a000124","gene1790"
"Lflavo2a000126","gene1845"
"Lflavo2a000129","gene1798"
"Lflavo2a000130","gene9328"
"Lflavo2a000131","gene6164"
"Lflavo2a000133","gene2661"
"Lflavo2a000134","gene6165"
"Lflavo2a000135","gene9331"
"Lflavo2a000136","gene1846"
"Lflavo2a000139","gene4334"
"Lflavo2a000140","gene1789"
"Lflavo2a000141","gene2664"
"Lflavo2a000145","gene1801"
"Lflavo2a000146","gene5205"
"Lflavo2a000147","gene8659"
