KAF7411105.1,Vvulg1g00010
KAF7411106.1,Vvulg1g00021
KAF7411106.1,Vvulg1g00021
KAF7411106.1,Vvulg1g00021
KAF7411106.1,Vvulg1g00021
KAF7411106.1,Vvulg1g00021
KAF7411107.1,Vvulg1g00020
KAF7411107.1,Vvulg1g00020
KAF7411107.1,Vvulg1g00020
KAF7411107.1,Vvulg1g00020
KAF7411107.1,Vvulg1g00020
KAF7411108.1,Vvulg1g00030
KAF7411108.1,Vvulg1g00030
KAF7411108.1,Vvulg1g00030
KAF7411109.1,Vvulg1g00031
KAF7411109.1,Vvulg1g00031
KAF7411110.1,Vvulg1g00040
KAF7411110.1,Vvulg1g00040
KAF7411111.1,Vvulg1g00060
KAF7411111.1,Vvulg1g00060
KAF7411111.1,Vvulg1g00060
KAF7411111.1,Vvulg1g00060
KAF7411111.1,Vvulg1g00060
KAF7411111.1,Vvulg1g00060
KAF7411112.1,Vvulg1g00070
KAF7411112.1,Vvulg1g00070
KAF7411113.1,Vvulg1g00071
KAF7411113.1,Vvulg1g00071
KAF7411113.1,Vvulg1g00071
KAF7411114.1,Vvulg1g00080
KAF7411114.1,Vvulg1g00080
KAF7411114.1,Vvulg1g00080
KAF7411114.1,Vvulg1g00080
KAF7411115.1,Vvulg1g00110
KAF7411115.1,Vvulg1g00110
KAF7411115.1,Vvulg1g00110
KAF7411115.1,Vvulg1g00110
KAF7411115.1,Vvulg1g00110
KAF7411115.1,Vvulg1g00110
KAF7411116.1,Vvulg1g00150
KAF7411116.1,Vvulg1g00150
KAF7411116.1,Vvulg1g00150
KAF7411116.1,Vvulg1g00150
KAF7411116.1,Vvulg1g00150
KAF7411116.1,Vvulg1g00150
KAF7411116.1,Vvulg1g00150
KAF7411117.1,Vvulg1g00160
KAF7411117.1,Vvulg1g00160
KAF7411117.1,Vvulg1g00160
KAF7411117.1,Vvulg1g00160
KAF7411117.1,Vvulg1g00160
KAF7411117.1,Vvulg1g00160
KAF7411117.1,Vvulg1g00160
KAF7411117.1,Vvulg1g00160
KAF7411117.1,Vvulg1g00160
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411118.1,Vvulg1g00180
KAF7411119.1,Vvulg1g00181
KAF7411119.1,Vvulg1g00181
KAF7411120.1,Vvulg1g00190
KAF7411120.1,Vvulg1g00190
KAF7411120.1,Vvulg1g00190
KAF7411121.1,Vvulg1g00200
KAF7411121.1,Vvulg1g00200
KAF7411121.1,Vvulg1g00200
KAF7411122.1,Vvulg1g00210
KAF7411122.1,Vvulg1g00210
KAF7411122.1,Vvulg1g00210
KAF7411122.1,Vvulg1g00210
KAF7411123.1,Vvulg1g00211
KAF7411123.1,Vvulg1g00211
KAF7411123.1,Vvulg1g00211
KAF7411123.1,Vvulg1g00211
KAF7411123.1,Vvulg1g00211
KAF7411124.1,Vvulg1g00220
KAF7411124.1,Vvulg1g00220
KAF7411124.1,Vvulg1g00220
KAF7411124.1,Vvulg1g00220
KAF7411124.1,Vvulg1g00220
KAF7411124.1,Vvulg1g00220
KAF7411124.1,Vvulg1g00220
KAF7411124.1,Vvulg1g00220
KAF7411124.1,Vvulg1g00220
KAF7411124.1,Vvulg1g00220
KAF7411125.1,Vvulg1g00230
KAF7411125.1,Vvulg1g00230
KAF7411125.1,Vvulg1g00230
KAF7411125.1,Vvulg1g00230
